iso_year,iso_week,iso_weekstartdate,total_cases,inf_a,inf_b,ab_ratio,month,lag_1,lag_2,lag_4,rolling_4
1999,52,1999-12-27,2,0,2,0,12,0,2,1,1
2000,1,2000-01-03,2,2,0,2,1,2,0,0,1.5
2001,39,2001-09-24,10,9,1,9,9,2,2,2,3.5
2002,1,2001-12-31,0,0,0,0,12,10,2,0,3.5
2002,2,2002-01-07,0,0,0,0,1,0,10,2,3
2002,3,2002-01-14,0,0,0,0,1,0,0,2,2.5
2002,4,2002-01-21,0,0,0,0,1,0,0,10,0
2002,5,2002-01-28,0,0,0,0,1,0,0,0,0
2002,6,2002-02-04,0,0,0,0,2,0,0,0,0
2002,7,2002-02-11,0,0,0,0,2,0,0,0,0
2002,8,2002-02-18,0,0,0,0,2,0,0,0,0
2002,9,2002-02-25,0,0,0,0,2,0,0,0,0
2002,10,2002-03-04,0,0,0,0,3,0,0,0,0
2002,11,2002-03-11,0,0,0,0,3,0,0,0,0
2002,12,2002-03-18,0,0,0,0,3,0,0,0,0
2002,13,2002-03-25,0,0,0,0,3,0,0,0,0
2002,14,2002-04-01,0,0,0,0,4,0,0,0,0
2002,15,2002-04-08,0,0,0,0,4,0,0,0,0
2002,16,2002-04-15,0,0,0,0,4,0,0,0,0
2002,17,2002-04-22,0,0,0,0,4,0,0,0,0
2002,18,2002-04-29,0,0,0,0,4,0,0,0,0
2002,19,2002-05-06,0,0,0,0,5,0,0,0,0
2002,20,2002-05-13,0,0,0,0,5,0,0,0,0
2002,21,2002-05-20,0,0,0,0,5,0,0,0,0
2002,22,2002-05-27,1,1,0,1,5,0,0,0,0.25
2002,23,2002-06-03,0,0,0,0,6,1,0,0,0.25
2002,24,2002-06-10,0,0,0,0,6,0,1,0,0.25
2002,25,2002-06-17,0,0,0,0,6,0,0,0,0.25
2002,26,2002-06-24,1,1,0,1,6,0,0,1,0.25
2002,27,2002-07-01,2,2,0,2,7,1,0,0,0.75
2002,28,2002-07-08,0,0,0,0,7,2,1,0,0.75
2002,29,2002-07-15,7,7,0,7,7,0,2,0,2.5
2002,30,2002-07-22,1,1,0,1,7,7,0,1,2.5
2002,31,2002-07-29,11,11,0,11,7,1,7,2,4.75
